Label,Model,Config,PR_AUC_mean,PR_AUC_std,F1_mean,F1_std,Bal.Acc_mean,Bal.Acc_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Sensitivity_mean,Specificity_mean
fine_burnt,LR,LR_C=0.01,0.2524,0.0624723939032273,0.298,0.0448943203534701,0.7026,0.0473582094256106,0.8678000000000001,0.0205353354002314,0.226,0.4742,0.9306
fine_buttery,RF,RF_n_estimators=300_max_features=log2,0.3408,0.1524981967106497,0.3777999999999999,0.1343398675003068,0.6839999999999999,0.0687386354243375,0.8667999999999999,0.0449299454706992,0.3956,0.3876,0.98
fine_cabbage,XGB,XGB_n_estimators=300_max_depth=6,0.3548,0.0939345516836057,0.2706,0.0719569315632622,0.646,0.0974448562008277,0.9512,0.0513828765251615,0.3854,0.2986,0.9932
fine_camphoreous,RF,RF_n_estimators=300_max_features=log2,0.4636,0.1341130120458115,0.4708,0.079149857864686,0.73,0.0701141925718323,0.9282,0.0262716577322406,0.499,0.474,0.9864
fine_caramellic,SVM,SVM_C=1,0.5092,0.0485046389534032,0.5264,0.0182153781185019,0.797,0.0304466746952766,0.9048,0.0209212810315238,0.4556,0.6315999999999999,0.9622
fine_cedar,SVM,SVM_C=10,0.361,0.1582134633967666,0.3623999999999999,0.1337639712329145,0.6748000000000001,0.0762443440525263,0.859,0.0338452360015409,0.4112,0.3566,0.9936
fine_celery,LR,LR_C=0.01,0.2494,0.1610971756425295,0.253,0.150907256286767,0.6328,0.0927830803541249,0.7226,0.1373237051641121,0.2424,0.2726,0.9934
fine_chamomile,SVM,SVM_C=1,0.3614,0.2140100464931494,0.3688,0.1072319914950757,0.6684,0.0773614891273429,0.8798,0.0599057593224558,0.5065999999999999,0.3399999999999999,0.9968
fine_cheesy,RF,RF_n_estimators=300_max_features=log2,0.5067999999999999,0.0636254665994678,0.461,0.0597201808436645,0.7226,0.0579206353556312,0.8902000000000001,0.0214755675128738,0.4801999999999999,0.4664,0.979
fine_cherry,XGB,XGB_n_estimators=300_max_depth=6,0.2254,0.0655842969010113,0.268,0.104529900028652,0.6006,0.0461876606898422,0.8826,0.0184878338374186,0.3954,0.2065999999999999,0.9946
