Feature_Name,Assigned_Type
AATSC0i,Numerical
BalabanJ,Numerical
BertzCT,Numerical
nBondsD,Numerical
nBondsT,Numerical
nBondsKD,Numerical
C1SP1,Numerical
C2SP1,Numerical
C1SP2,Numerical
C2SP2,Numerical
C3SP2,Numerical
C1SP3,Numerical
C2SP3,Numerical
C3SP3,Numerical
C4SP3,Numerical
FCSP3,Numerical
Xch-3d,Numerical
Xch-4d,Numerical
Xch-5d,Numerical
Xch-6d,Numerical
Xch-5dv,Numerical
Xch-6dv,Numerical
Xc-3d,Numerical
Xc-4d,Numerical
Xc-5d,Numerical
Xc-6d,Numerical
Xc-3dv,Numerical
Xc-4dv,Numerical
Xc-5dv,Numerical
Xc-6dv,Numerical
Xpc-4d,Numerical
Xpc-4dv,Numerical
Xp-2dv,Numerical
Xp-3dv,Numerical
Xp-6dv,Numerical
Xp-7dv,Numerical
MZ,Numerical
Mv,Numerical
NsssB,Numerical
NssssB,Numerical
NsCH3,Numerical
NdCH2,Numerical
NssCH2,Numerical
NtCH,Categorical
NtCH,Categorical
NdsCH,Numerical
NaaCH,Numerical
NsssCH,Numerical
NddC,Categorical
NddC,Categorical
NtsC,Numerical
NdssC,Numerical
NaasC,Numerical
NaaaC,Numerical
NssssC,Numerical
NsNH2,Numerical
NssNH,Numerical
NaaNH,Categorical
NaaNH,Categorical
NtN,Numerical
NsssNH,Categorical
NsssNH,Categorical
NdsN,Numerical
NaaN,Numerical
NsssN,Numerical
NddsN,Numerical
NaasN,Numerical
NssssN,Categorical
NssssN,Categorical
NsOH,Numerical
NdO,Numerical
NssO,Numerical
NaaO,Numerical
NssssSi,Numerical
NsSH,Numerical
NdS,Categorical
NdS,Categorical
NssS,Numerical
NaaS,Numerical
NdssS,Categorical
NdssS,Categorical
NddssS,Numerical
NsCl,Categorical
NsCl,Categorical
SsssCH,Numerical
SdssC,Numerical
SaasC,Numerical
SaaaC,Numerical
SssssC,Numerical
SddsN,Numerical
SdssS,Numerical
ECIndex,Numerical
fragCpx,Numerical
fMF,Numerical
GeomDiameter,Numerical
nHBAcc,Numerical
nHBDon,Numerical
IC0,Numerical
IC1,Numerical
IC2,Numerical
IC3,Numerical
TIC1,Numerical
CIC0,Numerical
CIC1,Numerical
CIC2,Numerical
CIC3,Numerical
CIC4,Numerical
MIC0,Numerical
MIC1,Numerical
MIC2,Numerical
ZMIC1,Numerical
Lipinski,Categorical
Lipinski,Categorical
GhoseFilter,Categorical
GhoseFilter,Categorical
FilterItLogS,Numerical
PEOE_VSA1,Numerical
PEOE_VSA2,Numerical
PEOE_VSA3,Numerical
PEOE_VSA4,Numerical
PEOE_VSA5,Numerical
PEOE_VSA6,Numerical
PEOE_VSA7,Numerical
PEOE_VSA8,Numerical
PEOE_VSA9,Numerical
PEOE_VSA10,Numerical
PEOE_VSA11,Numerical
PEOE_VSA12,Numerical
PEOE_VSA13,Numerical
SMR_VSA1,Numerical
SMR_VSA3,Numerical
SMR_VSA4,Numerical
SMR_VSA5,Numerical
SMR_VSA6,Numerical
SMR_VSA7,Numerical
SMR_VSA9,Numerical
SlogP_VSA1,Numerical
SlogP_VSA2,Numerical
SlogP_VSA3,Numerical
SlogP_VSA4,Numerical
SlogP_VSA5,Numerical
SlogP_VSA8,Numerical
SlogP_VSA10,Numerical
SlogP_VSA11,Numerical
EState_VSA1,Numerical
EState_VSA2,Numerical
EState_VSA3,Numerical
EState_VSA4,Numerical
EState_VSA5,Numerical
EState_VSA6,Numerical
EState_VSA7,Numerical
EState_VSA8,Numerical
EState_VSA9,Numerical
EState_VSA10,Numerical
VSA_EState1,Numerical
VSA_EState2,Numerical
VSA_EState4,Numerical
VSA_EState5,Numerical
VSA_EState7,Numerical
VSA_EState8,Numerical
VSA_EState9,Numerical
MOMI-X,Numerical
MOMI-Z,Numerical
PBF,Numerical
piPC1,Numerical
piPC2,Numerical
piPC3,Numerical
piPC7,Numerical
piPC8,Numerical
piPC9,Numerical
piPC10,Numerical
bpol,Numerical
nRing,Numerical
n4Ring,Numerical
n5Ring,Numerical
n6Ring,Numerical
n7Ring,Categorical
n7Ring,Categorical
n8Ring,Categorical
n8Ring,Categorical
n9Ring,Categorical
n9Ring,Categorical
n10Ring,Categorical
n10Ring,Categorical
n11Ring,Categorical
n11Ring,Categorical
n12Ring,Categorical
n12Ring,Categorical
nG12Ring,Numerical
nHRing,Numerical
n3HRing,Categorical
n3HRing,Categorical
n4HRing,Categorical
n4HRing,Categorical
n5HRing,Numerical
n6HRing,Numerical
n7HRing,Categorical
n7HRing,Categorical
n10HRing,Categorical
n10HRing,Categorical
n5aRing,Numerical
n6aRing,Numerical
n7aRing,Categorical
n7aRing,Categorical
naHRing,Numerical
n6aHRing,Numerical
nARing,Numerical
n5ARing,Numerical
n6ARing,Numerical
nAHRing,Numerical
n5AHRing,Numerical
n6AHRing,Numerical
nFRing,Numerical
n6FRing,Categorical
n6FRing,Categorical
n7FRing,Numerical
n8FRing,Numerical
n9FRing,Numerical
n10FRing,Numerical
n11FRing,Categorical
n11FRing,Categorical
n12FRing,Categorical
n12FRing,Categorical
nG12FRing,Numerical
nFHRing,Numerical
n7FHRing,Categorical
n7FHRing,Categorical
n8FHRing,Numerical
n9FHRing,Numerical
n10FHRing,Numerical
n11FHRing,Categorical
n11FHRing,Categorical
n12FHRing,Categorical
n12FHRing,Categorical
nG12FHRing,Categorical
nG12FHRing,Categorical
n9FaRing,Numerical
n10FaRing,Numerical
nFaHRing,Numerical
n10FaHRing,Numerical
nFARing,Numerical
n9FARing,Numerical
n10FARing,Categorical
n10FARing,Categorical
nFAHRing,Numerical
n9FAHRing,Numerical
n10FAHRing,Categorical
n10FAHRing,Categorical
nRot,Numerical
SLogP,Numerical
TopoPSA(NO),Numerical
TopoPSA,Numerical
GGI4,Numerical
GGI5,Numerical
GGI6,Numerical
GGI7,Numerical
GGI8,Numerical
JGI1,Numerical
JGI2,Numerical
JGI3,Numerical
JGI4,Numerical
JGI5,Numerical
JGI6,Numerical
JGI7,Numerical
JGI8,Numerical
JGI9,Numerical
JGI10,Numerical
JGT10,Numerical
Diameter,Numerical
SRW05,Numerical
TSRW10,Numerical
WPath,Numerical
animal_musk,Categorical
animal_musk,Categorical
